HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind,cluster
0.385,0.426,0.75,0.42200000000000004,0.39299999999999996,0.843,0.465,0.016,0.664,0.040999999999999995,0
0.877,0.5710000000000001,0.133,0.23199999999999998,0.326,1.0,0.198,0.184,0.496,0.226,4
0.684,0.444,0.067,0.32899999999999996,0.68,0.187,0.115,0.063,0.7440000000000001,0.12300000000000001,1
0.478,0.316,0.05,0.439,0.541,0.502,0.71,0.028999999999999998,0.703,0.079,0
0.147,0.292,0.15,0.45799999999999996,0.18600000000000003,0.882,0.774,0.008,0.7859999999999999,0.025,2
0.153,0.11800000000000001,0.2,0.47200000000000003,0.29100000000000004,0.9940000000000001,0.961,0.005,0.7929999999999999,0.026000000000000002,2
0.512,0.385,0.15,0.7759999999999999,0.792,0.565,0.18600000000000003,0.08199999999999999,0.693,0.038,0
0.20600000000000002,0.0,0.2,0.29600000000000004,0.313,0.537,0.8440000000000001,0.008,0.778,0.14800000000000002,2
0.426,0.331,0.483,0.43799999999999994,0.531,0.794,0.5539999999999999,0.026000000000000002,0.68,0.11800000000000001,0
0.8170000000000001,0.593,0.38299999999999995,0.22899999999999998,0.312,1.0,0.15,0.134,0.256,0.098,4
0.986,0.8340000000000001,0.38299999999999995,0.982,0.484,0.758,0.866,0.284,0.664,0.629,0
0.446,0.516,0.5,0.387,0.08800000000000001,0.37,0.35100000000000003,0.053,0.664,0.08,1
0.575,0.519,0.41700000000000004,0.726,0.205,0.833,0.231,0.061,0.54,0.027999999999999997,0
0.691,0.345,0.28300000000000003,0.6659999999999999,0.086,0.35200000000000004,0.011000000000000001,0.23199999999999998,0.773,0.21,1
0.49700000000000005,0.16,0.11699999999999999,0.7809999999999999,0.027000000000000003,0.498,0.005,0.139,0.757,0.134,1
0.996,0.778,0.16699999999999998,0.364,0.44299999999999995,0.8290000000000001,0.11900000000000001,0.213,0.0,0.32799999999999996,4
0.9329999999999999,0.789,0.35,0.467,0.12300000000000001,0.511,0.040999999999999995,0.203,0.8320000000000001,0.095,5
0.885,0.585,0.083,0.27,0.41600000000000004,1.0,0.18899999999999997,0.147,0.39799999999999996,0.19399999999999998,4
0.604,0.593,0.133,0.32799999999999996,0.39799999999999996,0.966,0.096,0.07400000000000001,0.693,0.11699999999999999,0
0.9329999999999999,0.85,0.183,0.5660000000000001,0.287,1.0,0.08199999999999999,0.239,0.27899999999999997,0.196,4
0.595,0.499,0.183,0.755,0.111,0.106,0.08,0.063,0.902,0.11800000000000001,1
0.7659999999999999,0.505,0.267,0.701,0.045,0.242,0.021,0.46299999999999997,0.33299999999999996,0.18,1
0.368,0.385,0.217,0.56,0.265,0.675,0.8,0.011000000000000001,0.84,0.193,2
0.419,0.42,0.183,0.569,0.0,1.0,0.455,0.016,0.93,0.039,0
0.732,0.48,0.7170000000000001,0.7929999999999999,0.09300000000000001,0.9840000000000001,0.0,0.624,0.8140000000000001,0.155,5
0.5379999999999999,0.315,0.9670000000000001,0.597,0.209,0.223,0.257,0.042,0.408,0.251,1
