Country,HDI,Government_Effectiveness,EPI,BiodiversityHabitat,ProtectedArea,TerrestrialBiomesProtected,RenewableEnergy_%2020,CO2,Practical Potential Solar,Wind Potential,cluster
Trinidad and Tobago,0.714,0.499,0.467,0.493,0.934,0.988,0.005,0.824,0.736,0.047,3
Tunisia,0.615,0.452,0.55,0.593,0.042,0.371,0.132,0.071,0.716,0.185,2
Turkey,0.757,0.487,0.383,0.353,0.11,0.014,0.131,0.137,0.535,0.147,2
Turkmenistan,0.57,0.203,0.4,0.741,0.028,0.224,0.001,0.361,0.566,0.186,2
Uganda,0.266,0.338,0.35,0.514,0.378,0.953,1,0.003,0.804,0.03,5
Ukraine,0.684,0.406,0.367,0.331,0.177,0.26,0.076,0.134,0.212,0.11,2
United Arab Emirates,0.881,0.801,0.35,0.906,0.09,0.904,0.003,0.561,0.91,0.079,0
United Kingdom,0.956,0.815,0.3,0.359,0.514,0.979,0.122,0.147,0.016,0.364,3
United States of America,0.945,0.827,0.25,0.588,0.16,0.616,0.112,0.437,0.509,0.284,0
Uruguay,0.751,0.64,0.4,0.483,0.067,0.201,0.672,0.053,0.584,0.133,2
Uzbekistan,0.579,0.354,0.3,0.72,0.018,0.35,0.016,0.074,0.512,0.177,2
Vanuatu,0.382,0.347,0.55,0.798,0.107,0.241,0.341,0.013,0.457,0.125,2
Venezuela,0.563,0.084,0.367,0.638,0.74,1,0.161,0.126,0.729,0.094,1
Viet Nam,0.551,0.485,0.25,0.463,0.254,0.28,0.26,0.058,0.444,0.131,2
Zambia,0.337,0.316,0.25,0.718,0.695,1,0.942,0.008,0.866,0.055,5
Zimbabwe,0.314,0.191,0.383,0.586,0.549,0.991,0.901,0.021,0.84,0.065,5
